"Gmina","TERYT"
"Krzyżanowice","2411042"
"Krzyżanów","1002052"
"Krzyż Wielkopolski","3002043"
"Ksawerów","1008052"
"Książki","0417032"
"Książ Wielki","1208042"
"Książ Wielkopolski","3026033"
"Księżpol","0602082"
"Kuczbork-Osada","1437022"
"Kudowa-Zdrój","0208031"
"Kulesze Kościelne","2013062"
"Kunice","0209042"
"Kunów","2607053"
"Kurów","0614062"
"Kuryłówka","1808032"
"Kurzętnik","2812042"
"Kuślin","3015012"
"Kutno","1002011"
"Kutno","1002062"
"Kuźnia Raciborska","2411053"
"Kuźnica","2011052"
"Kwidzyn","2207011"
"Kwidzyn","2207032"
"Kwilcz","3014022"
"Lanckorona","1218042"
"Laskowa","1207062"
"Lasowice Wielkie","1604032"
"Laszki","1804052"
"Latowicz","1412102"
"Lądek","3023022"
"Lądek-Zdrój","0208083"
"Legionowo","1408011"
"Legnickie Pole","0209052"
"Lelis","1415062"
"Lelkowo","2802042"
"Lelów","2404092"
"Leoncin","1414032"
"Lesko","1821033"
"Leszno","1432042"
"Lesznowola","1418032"
"Leśna","0210033"
"Leśna Podlaska","0601082"
"Leśnica","1611043"
"Leśniowice","0603072"
"Lewin Brzeski","1601043"
"Lewin Kłodzki","0208092"
"Leżajsk","1808011"
"Leżajsk","1808042"
"Lębork","2208011"
"Lędziny","2414031"
"Lgota Wielka","1012082"
"Libiąż","1203043"
"Lichnowy","2209032"
"Lidzbark","2803043"
"Lidzbark Warmiński","2809011"
"Lidzbark Warmiński","2809032"
"Limanowa","1207011"
"Limanowa","1207072"
"Linia","2215062"
"Liniewo","2206052"
"Lipce Reymontowskie","1015052"
"Lipiany","3212033"
"Lipie","2406032"
"Lipinki","1205052"
"Lipinki Łużyckie","0811052"
"Lipka","3031042"
"Lipnica","2201052"
"Lipnica Murowana","1201042"
"Lipnica Wielka","1211072"
"Lipnik","2606032"
"Lipno","0408011"
"Lipno","0408062"
"Lipno","3013022"
"Lipowa","2417062"
"Lipowiec Kościelny","1413032"
"Lipsk","2001043"
"Lipsko","1409033"
"Lipusz","2206062"
"Lisewo","0404042"
"Lisia Góra","1216032"
"Lisków","3007062"
"Liszki","1206072"
"Liw","1433042"
"Lniano","0414052"
"Lubaczów","1809011"
"Lubaczów","1809042"
"Lubanie","0418102"
"Lubań","0210011"
"Lubań","0210042"
"Lubartów","0608011"
"Lubartów","0608072"
"Lubasz","3002052"
"Lubawa","2807021"
"Lubawa","2807052"
